name,ra,dec,l,b,N,velocity,distance,members
NGC4291,186.5,75.19999694824219,42.0,13.0,5,1802.0,85.0,"4291,4319,4331,4386,4648."
NGC1832,77.75,-15.600000381469727,293.0,-65.0,3,1833.0,85.0,"1832,MCG-2-14-4,MCG-3-14-1."
NGC4751,193.25,-42.79999923706055,158.0,-11.0,3,1837.0,75.0,"4751,ESO268-46,ESO323-33."
NGC2962,145.25,5.099999904632568,93.0,-44.0,3,1847.0,90.0,"2962,2966,UGC5107."
NGC5846,226.25,1.399999976158142,125.0,32.0,9,1851.0,85.0,"5792,5813,5831,5846,5854,5864,5869,UGC9682,UGC9760."
NGC681,27.5,-10.100000381469727,290.0,-16.0,3,1877.0,80.0,"681,701,MCG-2-5-53."
NGC7144,328.25,-48.5,235.0,15.0,5,1880.0,80.0,"7144,7145,7151,7155,ESO236-35."
NGC5101,200.0,-26.799999237060547,144.0,-2.0,5,1883.0,90.0,"5061,5078,5085,5101,IC4231."
NGC584,23.25,-7.0,292.0,-11.0,8,1907.0,75.0,"584,586,596,600,615,636,MCG-1-4-44,MCG-1-5-14."
NGC2663,131.5,-33.900001525878906,158.0,-59.0,3,1918.0,95.0,"2663,ESO371-20,ESO371-24."
NGC7421,344.25,-36.599998474121094,252.0,13.0,4,1966.0,85.0,"7418A,7421,IC5264,IC5269."
NGC1359,54.25,-18.700000762939453,285.0,-43.0,4,1976.0,85.0,"1359,1383,1393,ESO548-32."
IC5181,333.5,-46.0,240.0,14.0,3,1996.0,80.0,"7232,7233,IC5181."
NGC5962,234.0,16.0,109.0,42.0,3,2001.0,90.0,"5951,5953,5962."
IC764,181.75,-30.600000381469727,144.0,-18.0,6,2002.0,100.0,"IC760,IC764,IC3015,ESO440-38,ESO440-49,ESO441-17."
NGC2986,145.75,-21.0,131.0,-50.0,3,2027.0,100.0,"2935,2983,2986."
NGC5485,211.0,55.099998474121094,63.0,23.0,7,2047.0,90.0,"5422,5443,5473,5475,5485,UGC8892,UGC9071."
NGC6070,242.75,0.5,133.0,47.0,3,2066.0,95.0,"6070,UGC10288,UGC10290."
NGC2273,101.75,60.5,25.0,-14.0,4,2069.0,100.0,"2273,2273B,UGC3504,UGC3598."
NGC5322,207.5,60.29999923706055,57.0,20.0,6,2072.0,100.0,"5308,5322,5376,5379,5389,UGC8684."
NGC3665,171.0,38.599998474121094,73.0,-7.0,3,2074.0,105.0,"3652,3658,3665."
NGC5678,217.25,57.099998474121094,60.0,26.0,3,2085.0,105.0,"5631,5678,UGC9245."
NGC4965,196.75,-28.399999618530273,145.0,-5.0,3,2087.0,100.0,"4965,ESO443-69,ESO443-79."
NGC3613,170.0,57.900001525878906,56.0,1.0,3,2106.0,105.0,"3613,3625,3669."
NGC2300,116.25,85.5999984741211,27.0,11.0,4,2125.0,100.0,"2300,IC469,IC499,UGC4078."
NGC7721,355.0,-6.400000095367432,285.0,16.0,3,2136.0,100.0,"7721,MCG-1-60-16,MCG-1-60-26."
